cik,name
107136,&PARTNERS
1641761,1 NORTH WEALTH SERVICES LLC
2133991,"1015 Capital Partners, LLC"
1602119,"1060 Capital, LLC"
2056650,10Elms LLP
1801172,11 Capital Partners LP
2072160,"11.2 Capital Management, LLC"
2060412,111 Capital
1540531,12 West Capital Management LP
2011147,"1248 Management, LLC"
1633703,"12th Street Asset Management Company, LLC"
1600133,13D Management LLC
1820788,140 Summer Partners LP
1584087,1492 Capital Management LLC
1436866,"1607 Capital Partners, LLC"
1907281,"1620 INVESTMENT ADVISORS, INC."
1727407,"17 CAPITAL PARTNERS, LLC"
1803140,1776 Wealth LLC
2077902,180 GPS Investments IC Ltd
1730817,"180 WEALTH ADVISORS, LLC"
944388,1832 Asset Management L.P.
1138486,1834 INVESTMENT ADVISORS CO
1885092,"1888 Investments, LLC"
1791996,1900 WEALTH MANAGEMENT LLC
1584289,1922 Investment Co LLC
356264,1ST SOURCE BANK
2067541,21 West Wealth Management LLC
2075659,22C Capital LLC
1694297,"22NW, LP"
1968777,25 LLC
1950972,26North Partners LP
1843587,2Xideas AG
2135169,"3 FACTOR INDEXING, LLC"
1873893,325 CAPITAL LLC
1802324,"360 Financial, Inc."
1978521,"3Chopt Investment Partners, LLC"
1665605,"3EDGE Asset Management, LP"
1421669,3G Capital Partners LP
1831187,44 WEALTH MANAGEMENT LLC
2112665,46 Peaks LLC
2022291,"49 WEALTH MANAGEMENT, LLC"
1938268,"4D Advisors, LLC"
1840775,4J Wealth Management LLC
1840261,4Thought Financial Group Inc.
2056676,"4WEALTH ADVISORS, INC."
1636974,53 HOUSE LLP
2106457,"55 North Private Wealth, LLC"
1805589,"59 North Capital Management, LP"
1799883,"5AM Venture Management, LLC"
2039313,"5T Wealth, LLC"
1911026,"5th Street Advisors, LLC"
1911035,"626 Financial, LLC"
1404574,"683 Capital Management, LLC"
2102803,"6th Street Advisors, LLC"
2111530,71 West Capital Partners
1832749,"72 Investment Holdings, LLC"
1720350,"7G CAPITAL MANAGEMENT, LLC"
1667766,"8VC GP I, LLC"
2112320,"93 Financial Group, LLC"
1982920,"9823 Capital, L.P."
1728031,"A&I FINANCIAL SERVICES, LLC"
1569102,"A. D. Beadell Investment Counsel, Inc."
1540358,"a16z Capital Management, L.L.C."
2009275,"a16z Perennial Management, L.P."
2033987,A4 Wealth Advisors LLC
2016899,"AA Financial Advisors, LLC"
1726609,"AAF Wealth Management, LLC"
1846160,AAFMAA Wealth Management & Trust LLC
1812198,Aaron Wealth Advisors LLC
1604903,Abacus FCF Advisors LLC
1602730,"Abacus Planning Group, Inc."
1978011,"Abacus Wealth Partners, LLC"
2088867,ABBINGTON INVESTMENT GROUP
1714341,"Abbot Financial Management, Inc."
2049221,ABC ARBITRAGE SA
1578684,"Abdiel Capital Advisors, LP"
2013339,"Abel Hall, LLC"
1716774,Aberdeen Group plc
1802654,Aberdeen Wealth Management LLC
1845297,ABG Innovation Capital Partners III GP Ltd
1832108,ABG-WTT Global Life Science Capital Partners GP Ltd
1977500,"ABLE Financial Group, LLC"
2011908,Able Wealth Management LLC
2013713,"ABLES, IANNONE, MOORE & ASSOCIATES, INC."
1561082,ABN AMRO Bank N.V.
2080520,ABN AMRO INVESTMENT SOLUTIONS
1038661,ABNER HERRMAN & BROCK LLC
2024264,"ABOUND FINANCIAL, LLC"
1950323,Abound Wealth Management
1317588,"ABRAMS BISON INVESTMENTS, LLC"
1358706,"ABRAMS CAPITAL MANAGEMENT, L.P."
1729347,ABS Direct Equity Fund LLC
1802534,"ABSHER WEALTH MANAGEMENT, LLC"
1817648,"ABSOLUTE CAPITAL MANAGEMENT, LLC"
1622610,Absolute Gestao de Investimentos Ltda.
1316187,"ABSOLUTE INVESTMENT ADVISERS, LLC"
1847566,Absoluto Partners Gestao de Recursos Ltda
1814011,Abu Dhabi Investment Council Co P.J.S.C
1767080,Abundance Wealth Counselors
1031972,ACADEMY CAPITAL MANAGEMENT
916542,ACADIAN ASSET MANAGEMENT LLC
2090007,Acasta Partners UK LLP
1767987,Accel Growth Fund V Associates L.L.C.
1832690,Accel Leaders 3 Associates L.P.
1923783,Accel Leaders 4 Associates L.P.
1838226,Accel Wealth Management
1535603,Accel XI Associates L.L.C.
2035216,Accelerate Investment Advisors LLC
2014179,"Accent Capital Management, LLC"
1699622,"ACCESS FINANCIAL SERVICES, INC."
2010477,Access Investment Management LLC
2013499,Accordant Advisory Group Inc
769954,ACCOUNT MANAGEMENT LLC
2028621,"ACCREDITED INVESTOR SERVICES, LLC"
1518364,Accredited Investors Inc.
1844444,"Accretive Wealth Partners, LLC"
1877728,"Accurate Wealth Management, LLC"
1497637,Accuvest Global Advisors
1697765,Achmea Investment Management B.V.
1761961,"ACIMA PRIVATE WEALTH, LLC"
1510940,ACK Asset Management LLC
2067071,"Ackerman Asset Management, LLC"
1699506,"Ackerman Capital Advisors, LLC"
1803200,"ACME, LLC"
2054410,"ACORN CAPITAL ADVISORS, LLC"
1994827,ACORN CREEK CAPITAL LLC
1018561,ACORN FINANCIAL ADVISORY SERVICES INC /ADV
1730610,"Acorn Wealth Advisors, LLC"
1701879,"Acorns Advisers, LLC"
1508822,"ACR Alpine Capital Research, LLC"
1318601,"Acropolis Investment Management, LLC"
1842554,"ACT Advisors, LLC."
1442273,"ACT CAPITAL MANAGEMENT, LLC"
1766907,Act Two Investors LLC
1814191,"ACT WEALTH MANAGEMENT, LLC"
2116119,"ACTION POINT FINANCIAL PLANNING, LLC"
1883134,Activest Wealth Management
1524828,"Acuitas Investments, LLC"
1939202,"Acumen Wealth Advisors, LLC"
1582844,"ACUTA CAPITAL PARTNERS, LLC"
1944780,"ACUTE INVESTMENT ADVISORY, LLC"
1165408,"ADAGE CAPITAL PARTNERS GP, L.L.C."
1698926,Adalta Capital Management LLC
1386929,"Adams Asset Advisors, LLC"
2230,"ADAMS DIVERSIFIED EQUITY FUND, INC."
216851,"ADAMS NATURAL RESOURCES FUND, INC."
1193586,ADAMS STREET PARTNERS LLC
1803084,Adams Wealth Management
1911244,ADAMSBROWN WEALTH CONSULTANTS LLC
2029917,ADAPT Investment Managers SA
2013937,"ADAPT WEALTH ADVISORS, LLC"
1804717,"Adaptive Financial Consulting, LLC"
1940272,"ADAR1 Capital Management, LLC"
1569411,Addenda Capital Inc.
2016470,"Addis & Hill, Inc"
1843745,Addison Advisors LLC
1581465,Addison Capital Co
1845950,"ADE, LLC"
1067926,Adelante Capital Management LLC
1134152,ADELL HARRIMAN & CARPENTER INC
2106968,Adelphi Trust Co
2053824,"ADG Wealth Management Group, LLC"
2107623,"Adirondack Capital Advisors, LLC"
1054257,ADIRONDACK TRUST CO
1536029,"Advance Capital Management, Inc."
1075444,Advanced Asset Management Advisors Inc
2488,ADVANCED MICRO DEVICES INC
2009346,Advantage Trust Co
2056686,Advaya LLP
1097278,ADVENT CAPITAL MANAGEMENT /DE/
1034196,"Advent International, L.P."
1103139,ADVENTIST HEALTH SYSTEM SUNBELT HEALTHCARE CORP
1802516,Adventist Health System/ West
1998980,"AdviceOne Advisory Services, LLC"
1767580,"Advisor OS, LLC"
1820879,Advisor Resource Council
1409362,"AdvisorNet Financial, Inc"
1297376,"Advisors Asset Management, Inc."
1345576,"Advisors Capital Management, LLC"
842766,ADVISORS MANAGEMENT GROUP INC /ADV
1598841,"Advisors Preferred, LLC"
1425930,AdvisorShares Investments LLC
2115523,"ADVISORTRUST PARTNERS, LLC"
2111697,"Advisory Advocates, LLC"
1576762,"Advisory Alpha, LLC"
902584,ADVISORY RESEARCH INC
1764968,Advisory Resource Group
1573876,"Advisory Services Network, LLC"
1569452,"Advocacy Wealth Management, LLC"
1853401,ADVOCATE GROUP LLC
2110509,Advocate Investing Services LLC
2011872,"Advyzon Investment Management, LLC"
1745214,"ADW Capital Management, LLC"
1880785,"AE INDUSTRIAL PARTNERS, LP"
1697723,AE Wealth Management LLC
1140753,AEGIS FINANCIAL CORP
1628818,Aegis Wealth Management LLC
2096565,"Aegis Wealth Management, Inc."
1539994,AEGON ASSET MANAGEMENT UK Plc
1454937,"AEGON USA Investment Management, LLC"
1728201,Aequim Alternative Investments LP
1927705,"Aerodigm Wealth, LLC"
1046187,AEW CAPITAL MANAGEMENT L P
1818044,"AF Advisors, Inc."
1885432,AFBI LP
